PONGSRI THAI RESTAURANT,10F;06D;06A;04L;09C;02B;10B;08A;10F;02B;10A;10F;04L;06A;04N;99B;02B;08C;02G;02G;06C;06F;04L;04N;06D;02G;08A;08A;02B;08A;10A;04L;08A;10F;06D;04L;08A;09A;18A;08A;10G;06C;04L;08A;06E;02G;06E;06A;10B;06A;08A;10F;02G;06D;06E;10H;08C;10B;10F;08A;10G;02G;02B;04L;06A;08C;04J;06C;02G;10G;06C;10F;04K;08A;10B;04C;06E;05D;06D;04N;10E;08A;;02G;06D;09B;10H;04N;;08A;04M;02G;09B;08A;06F;04L;10F;16B;02G;04L;02G;02G;06E;04M;10F;02G;03C;06D;10F;04H;08A;10B;04N;10F;02G;06E;02B;02G;10B;06A;04L;10D;04L;09C;02B;04M;02B;10B;04K;02B;06E;06D;04C;;;;
KABUL KABAB HOUSE,05D;10H;10F;10B;02G;99B;06D;04N;08C;08A;10M;08A;10B;09B;10H;06F;04A;06A;10B;04M;22C;04O;04C;06C;09C;05D;04I;10G;04L;06E;05C;10F;99B;06C;10B;04J;02B;04M;06E;10H;04L;
LAND THAI KITCHEN,10D;10B;06D;02G;06E;99B;06E;10G;04I;06F;09A;06C;02A;04D;07D;04H;08A;08B;02G;10G;06E;10G;04L;02G;10G;06C;08A;08A;04M;06C;09C;10F;10B;04N;08A;10B;06A;04H;02B;04L;06E;08C;04H;08A;08C;10G;02B;04M;05D;10B;04L;06D;;
SHANGHAI HEPING RESTAURANT,04L;10F;06E;04M;10F;08A;10B;04K;08C;04L;06E;10F;10B;09C;02G;10H;10B;08A;04M;09A;10D;
CALLE OCHO,06D;;
ORSO,10F;06C;10F;06C;06D;06F;06A;02G;10G;
GAM MEE OK TANG,
SAIGON GRILL,04C;06A;04L;08A;10A;02G;04N;06A;06B;06E;04N;08A;02H;10F;02G;06E;02B;06D;06C;08A;09A;06C;04L;06D;04N;08A;08C;04A;04M;06C;10F;06C;04M;06C;09C;08A;02B;09A;08A;04L;04N;09C;
ROYAL SIAM THAI CUISINE,
LOI,10F;10B;10J;10F;08C;10B;04M;10B;02B;10B;03C;04L;15I;06D;04H;10A;10B;06F;10F;06C;02G;10H;10G;02G;06E;08A;04L;02B;02G;04I;04L;08A;
LINCOLN RISTORANTE,10B;02G;22E;06E;02B;03C;10A;06C;
GU SHINE TAIWANESE RESTAURANT,
RIO & YOU,
SOCARRAT PAELLA BAR,02G;09B;06A;04N;08C;10A;10B;04L;04L;08A;;04K;06D;06C;04L;10F;08A;08A;06F;04M;02G;
LA SILHOUETTE,10F;09C;08C;
FU RUN,
